,시설명,분류,시군구 명칭,위도,경도,지번주소,전화번호,홈페이지,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어)
1191,구로아트밸리,1,13,37.4965583,126.888975,서울특별시 구로구 구로동 101,02-2029-1700,www.guroartsvalley.or.kr/user/overall/overallArt.do,정보없음,정보없음,0,1,1,0,1,1,0,1,1,1
1192,구로안전체험교실,5,13,37.49422749,126.882548,서울특별시 구로구 구로동 409-60,02-2684-8119,정보없음,"매주 토요일, 일요일, 공휴일",09:30-17:00,1,0,1,0,0,0,0,1,1,1
1193,구로청소년문화예술센터,1,13,37.49485972,126.8911,서울특별시 구로구 구로동 90,02-6101-0780,www.sen.go.kr/crezone3/,"매주 토요일, 일요일, 공휴일",09:00-18:00,0,0,1,0,1,0,0,1,0,0
1194,구룡산산림욕장,5,209,36.5404596,127.627068,충청북도 보은군 회인면 쌍암리 산 128-1,정보없음,정보없음,정보없음,정보없음,0,0,1,0,0,0,0,1,0,0
1195,구룡소,5,42,36.05634834,129.528006,경상북도 포항시 남구 호미곶면 대동배리 산 93-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
1196,구룡소폭포,5,126,36.39965039,129.161952,경상북도 청송군 주왕산면 상의리 산 84,054-870-5300,https://url.kr/ibmjhv,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1197,구룡운동장,3,97,37.30822207,126.860503,경기도 안산시 상록구 이동 609-3,정보없음,정보없음,정보없음,정보없음,1,0,1,0,0,0,1,1,0,0
1198,구룡체력단련장,4,165,36.3188068,127.231253,충청남도 계룡시 신도안면 석계리 1,042-550-6842,www.armywelfaregolf.mil.kr/subPage.do,정보없음,정보없음,1,0,1,0,0,1,0,0,0,0
1199,구룡포과메기문화관,2,42,35.9927403,129.561799,경상북도 포항시 남구 구룡포읍 구룡포리 353,054-277-2860,www.pohang.go.kr/pohang/7139/subview.do,"매주 월요일, 공휴일","관람시간 09:00-18:00, 입장시간 09:00-17:30",1,0,1,1,1,1,1,1,1,0
1200,구룡포근대역사관,2,42,35.99053886,129.561599,경상북도 포항시 남구 구룡포읍 구룡포리 243,054-276-9605,정보없음,매주 월요일,10:00-17:30,1,0,1,0,0,0,0,1,0,0
1201,구룡포축구장,3,42,35.97677093,129.539479,경상북도 포항시 남구 구룡포읍 하정리 산 27-5,054-280-9300,정보없음,정보없음,정보없음,1,0,1,0,1,1,1,1,0,0
1202,구룡포해수욕장,5,42,35.99957404,129.551123,경상북도 포항시 남구 구룡포읍 구룡포리,054-275-9405,정보없음,연중무휴,상시개방,1,0,1,0,1,1,0,1,1,0
1203,구름빵엔터테인먼트,2,150,37.6614856,126.774458,경기도 고양시 일산동구 마두동 816,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1204,구름산산림욕장,5,202,37.45366515,126.876138,경기도 광명시 하안동 산 141-7,02-2680-2339,정보없음,연중무휴,상시개방,0,0,0,0,0,0,0,1,0,0
1205,구름아래소극장,1,31,37.55411346,126.928599,서울특별시 마포구 서교동 337-11,02-3280-8800,gurumare.co.kr,정보없음,정보없음,0,0,0,0,1,0,0,1,1,1
1206,구름위의산책농원,5,159,36.35998704,128.617398,경상북도 의성군 안평면 신안리 780-2,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1207,구름포해수욕장,5,93,36.8176032,126.158668,충청남도 태안군 소원면 의항리,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1208,구리동해수욕장,5,104,37.66737135,125.685707,인천광역시 옹진군 연평면 연평리 900-3,032-899-3450,정보없음,정보없음,매년 7-8월 중 09:00-일몰,1,0,0,0,0,0,0,1,0,0
1209,구리리틀야구장,3,90,37.57181732,127.129118,경기도 구리시 아천동 1,031-550-2114,정보없음,정보없음,정보없음,1,1,0,0,0,1,1,1,0,0
1210,구리시민운동장,3,90,37.56758235,127.119197,경기도 구리시 아천동 225,031-550-3772,sports.guriuc.or.kr:4433/guriws/,연중무휴,"주중·주말·공휴일, 06:00-23:00(예약제운영)",1,0,1,0,1,1,0,1,0,0
1211,구리시민축구장,3,90,37.58818765,127.160008,경기도 구리시 토평동 6,031-558-3301,gurisports.kr/index.php,연중무휴,"평일 06:00-21:00, 토요일 06:00-21:00, 공휴일 09:00-17:20",1,0,0,0,0,1,1,1,0,0
1212,구리시청소년수련관공연장,1,90,37.60379483,127.1418,경기도 구리시 인창동 673-4,031-553-7101,www.guriyouth.go.kr/www/2,정보없음,정보없음,1,0,1,0,1,1,0,1,1,1
1213,구리시행정복지센터공연장,1,90,37.59152048,127.138668,경기도 구리시 수택동 848,031-550-2608,www.guri.go.kr/dong8/index.do,"매주 토요일, 일요일, 공휴일",평일 09시-18시,0,0,0,0,0,0,0,0,0,0
1214,구리아트홀,1,90,37.59555001,127.129853,경기도 구리시 교문동 390,031-580-7900,www.guriart.or.kr/,정보없음,정보없음,1,1,1,1,1,1,1,1,1,1
1215,구리타워,5,90,37.5888746,127.16005,경기도 구리시 토평동 9-1,정보없음,정보없음,정보없음,정보없음,1,1,1,0,1,1,0,1,1,0
1216,구리한강시민공원,6,90,37.57447848,127.132863,경기도 구리시 토평동 810,031-550-3789,정보없음,연중무휴,00:00-24:00,1,0,1,0,1,1,1,1,0,0
1217,구리한강시민공원야구장,3,90,37.57181732,127.129118,경기도 구리시 아천동 1,031-550-3799,www.guriuc.or.kr/frm_centers.asp?c_code=100606,정보없음,정보없음,1,1,0,0,0,1,1,1,0,0
1218,구리한강시민공원운동장,3,90,37.57447848,127.132863,경기도 구리시 토평동 810,031-550-3789,정보없음,연중무휴,매일00:00-24:00,1,1,1,0,1,0,1,1,0,0
1219,구림전통마을,5,88,34.75653038,126.629121,전라남도 영암군 군서면 동구림리 산 17,061-470-2656,ygurim.namdominbak.go.kr/,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1220,구림한옥체험관,5,88,34.75964707,126.630473,전라남도 영암군 군서면 동구림리 423-3,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1221,구립서초유스센터,1,109,37.48550591,127.010358,서울특별시 서초구 서초동 1535-6,02-3486-1318,scy.or.kr/,정보없음,"월-토 09:00-21:00, 일 09:00-18:00",1,0,1,0,1,0,0,1,1,1
1222,구메농장,5,21,37.02767242,127.415086,경기도 안성시 죽산면 칠장리 297,031-675-6112,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
1223,구미과학관,2,156,36.10229706,128.400515,경상북도 구미시 진평동 704,054-476-6508,www.gumisc.or.kr,"매주 월요일, 공휴일",화-일 10:00-18:00,1,0,1,0,1,1,1,1,1,0
1224,구미동탄천야외무대,1,68,37.34215965,127.121947,경기도 성남시 분당구 구미동 299,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1225,구미동해수욕장,5,139,34.77917618,127.856404,경상남도 남해군 남면 덕월리,055-860-3371,정보없음,정보없음,정보없음,0,0,1,0,0,0,0,1,0,0
1226,구미마이다스골프아카데미,4,62,36.08330081,128.469279,경상북도 칠곡군 가산면 학하리 1199-1,054-970-3702,www.gmmidas.co.kr,정보없음,정보없음,1,0,0,0,0,1,0,0,0,0
1227,구미문화원해평분원,1,156,36.19817138,128.391801,경상북도 구미시 해평면 월호리 484-19,054-482-5422,cafe.daum.net/mwhaepyeong,"매주 토요일, 일요일, 공휴일",09:00-18:00/ 점심시간12:00-13:00 이용불가,1,0,1,0,0,0,0,1,0,0
1228,구미성리학역사관,2,156,36.11467804,128.312497,경상북도 구미시 남통동 산 28-7,054-480-2687,www.gumi.go.kr/museum/,"매주 월요일, 공휴일",매일 09:00-18:00,1,0,1,1,1,1,0,1,1,1
1229,구미숲,5,139,34.78762401,127.845042,경상남도 남해군 남면 덕월리 산 133-2,055-860-8251,https://url.kr/s54mtx,정보없음,연중무휴,1,0,0,0,0,0,0,1,0,0
1230,구미스피드풋살클럽,3,156,36.15401742,128.316266,경상북도 구미시 봉곡동 178,054-442-9494,정보없음,연중무휴,첫 예약-24:00,1,0,0,0,1,0,0,1,0,0
1231,구미시립민속관,2,156,36.12355207,128.330617,경상북도 구미시 원평동 460-1,054-456-7904,정보없음,"매주 월요일, 공휴일","하절기(03월-10월) 09:30-17:30, 동절기(11월-02월) 09:30-16:30",1,1,1,0,1,1,0,0,1,0
1232,구미시문화예술회관,1,156,36.11837776,128.348982,경상북도 구미시 송정동 75,054-480-4560,www.gumi.go.kr/arts/main.do,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1233,구미시민운동장,3,156,36.11144868,128.352429,경상북도 구미시 광평동 277,054-450-5785,정보없음,연중무휴,"조기 05:00 ∼ 08:00(하계) 06:00 ∼ 09:00(동계), 주간 08:00 ∼ 18:00(하계) 09:00 ∼ 18:00(동계), 야간 18:00 ∼ 22:00(하계) 18:00 ∼ 22:00(동계)",1,0,1,1,1,1,1,1,1,1
1234,구미시복합문화센터(2023년예정),1,156,36.10275534,128.381402,경상북도 구미시 공단동 249,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1235,구미아트문화센터,1,156,36.11682032,128.350997,경상북도 구미시 송정동 455-1,054-453-0388,gumiart.wixsite.com/chansnanta,정보없음,"주중 오전 10시-오후 8시, 주말 오전 10시-오후 8시",0,0,0,0,0,0,0,0,0,0
1236,구미에코랜드,5,156,36.17731985,128.461175,경상북도 구미시 산동읍 인덕리 산 5-1,0507-1394-5887,정보없음,매주 월요일,09:00-17:00,0,1,1,0,1,1,1,1,1,0
1237,구미에코랜드산림문화관,2,156,36.17716588,128.462677,경상북도 구미시 산동읍 인덕리 261,0507-1394-5887,https://url.kr/3onwzq,"매주 월요일, 공휴일",09:00-18:00 (17:30분 입장마감),1,0,1,0,1,1,1,1,1,0
1238,구미영상미디어센터(2022년12월예정),1,156,36.12270045,128.328478,경상북도 구미시 원평동 964-451,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1239,구미정유원지,5,117,37.47471057,128.828014,강원도 정선군 임계면 봉산리 515-1,1544-9053,정보없음,연중무휴,상시개방,0,0,0,0,0,0,0,1,0,0
1240,구미코,2,156,36.14159669,128.442233,경상북도 구미시 산동읍 봉산리 567-1,054-477-8001,www.gumico.com/main/main.php,연중무휴,행사일정에 따라 상이함,1,0,1,1,1,1,1,1,1,1
1241,구미CC,4,156,36.16973019,128.486875,경상북도 구미시 장천면 상림리 산 81-3,054-470-6800,www.gumicc.com/,연중무휴,유동적,1,0,0,0,0,1,1,0,0,0
1242,구병리아름마을팜스테이,5,209,36.48216683,127.870052,충청북도 보은군 속리산면 구병리 437-5,정보없음,정보없음,정보없음,정보없음,0,0,1,0,0,0,0,0,0,0
1243,구봉사랑유치원자연학습관,5,107,36.17045655,127.180522,충청남도 논산시 가야곡면 산노리 222-5,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
1244,구봉산산림욕장,5,159,36.35211129,128.691163,경상북도 의성군 의성읍 원당리 1137-1,054-830-6936,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
1245,구산마을전통음식계승홍보관,2,124,35.07835306,127.244836,전라남도 순천시 주암면 구산리 474,061-535-2929,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1246,구산문화관,1,23,35.8900356,129.161131,경상북도 경주시 현곡면 하구리 164-1,054-779-6100,정보없음,정보없음,정보없음,1,0,0,0,0,0,1,1,0,0
1247,구산해수욕장,5,138,36.75923917,129.467268,경상북도 울진군 기성면 구산리,054-789-6862,https://url.kr/ezi3f9,정보없음,개장기간 : 매년 7-8월 중,0,0,1,0,1,0,1,1,1,0
1248,구상문학관,2,62,35.98381914,128.394586,경상북도 칠곡군 왜관읍 왜관리 785-84,054-973-0039,정보없음,매주 월요일,"화-금, 일요일 09:00-18:00, 토요일 09:00-17:00",1,0,0,0,1,1,0,1,0,0
1249,구성동산성,7,129,36.37333657,127.371723,대전광역시 유성구 구성동 20,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
1250,구세군아트홀,1,11,37.56011237,126.962282,서울특별시 서대문구 충정로3가 476,정보없음,thepainters.co.kr/kor/painters-hero/theatre/,정보없음,정보없음,1,1,0,0,1,1,0,1,1,1
1251,구세군역사박물관,2,12,37.56799609,126.973957,서울특별시 중구 정동 1-23,02-725-1180,museum.salvationarmy.or.kr/,"매주 일요일, 공휴일",월-토 오전 10:00-오후 6:00,1,1,1,1,1,1,0,1,1,1
1252,구송정유원지,5,122,35.43089009,127.237169,전라북도 순창군 동계면 서호리 626-10,063-650-5721,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
1253,구수곡휴양림,5,138,37.06212162,129.292928,경상북도 울진군 북면 상당리 325,054-783-2241,https://url.kr/xeykin,매주 화요일,[일일개장] 09시-18시,1,0,0,0,0,0,0,0,0,0
1254,구수한마을,5,114,35.40084135,126.498206,전라북도 고창군 공음면 구암리 711,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
1255,구시포해수욕장,5,114,35.44173173,126.446121,전라북도 고창군 상하면 자룡리,063-560-2645,정보없음,연중무휴,00:00-24:00,1,0,0,0,0,0,0,0,0,0
1256,구암리녹색농촌체험관,5,166,36.37298166,127.054807,충청남도 공주시 이인면 구암리 367,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
1257,구영등성,7,60,35.02772858,128.697158,경상남도 거제시 장목면 구영리 1249,055-639-3404,https://url.kr/4zf7o1,연중무휴,상시개방,0,0,0,0,0,0,0,1,0,0
1258,구영해수욕장,5,60,35.02496073,128.694266,경상남도 거제시 장목면 구영리,055-639-6009,정보없음,연중무휴,상시개방,1,0,0,0,0,0,1,1,0,0
1259,구월예술어린이공원,6,187,37.44596018,126.696606,인천광역시 남동구 구월동 1377-5,032-453-6145,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1260,구월체육공원축구장,3,187,37.45891399,126.718332,인천광역시 남동구 구월동 1246,032-453-6270,정보없음,정보없음,정보없음,0,0,1,0,0,0,0,0,0,0
1261,구율포성,7,60,34.96921111,128.686787,경상남도 거제시 장목면 율천리 324-1,055-639-3404,https://url.kr/gjk6sh,연중무휴,상시개방,0,0,0,0,0,0,0,1,0,0
1262,구의야구공원,3,30,37.54721164,127.096818,서울특별시 광진구 구의동 164-5,02-3436-2890,stadium.seoul.go.kr/reserve/gue/info,상시변동,"하절기(4-9월) : 조기 05:00-08:00, 주간 08:00-19:00, 야간 19:00-05:00, 동절기(10-3월) : 조기 06:00-09:00, 주간 09:00-18:00, 야간 18:00-06:00",0,1,1,0,0,0,1,1,0,0
1263,구인사유물전시관,2,210,37.04356419,128.485169,충청북도 단양군 영춘면 백자리 65,043-423-7001,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1264,구재봉자연휴양림,5,174,35.12737233,127.747808,경상남도 하동군 적량면 서리 1765-13,070-8855-8011,https://url.kr/dw68zu,매주 화요일,09시-18시,1,0,0,0,1,0,1,1,0,0
1265,구절초꽃동산,5,194,36.15140169,127.493994,충청남도 금산군 군북면 외부리 846,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1266,구절초테마공원,6,211,35.55315515,127.01803,전라북도 정읍시 산내면 매죽리 산 186-7,063-539-6171,https://url.kr/mu6pvq,연중무휴,09:00-18:00,1,0,0,0,0,0,0,1,0,0
1267,구절터,5,151,37.945433,127.083978,경기도 동두천시 상봉암동 산 1-1,정보없음,정보없음,정보없음,정보없음,1,1,0,0,1,1,0,1,0,0
1268,구조라성,7,60,34.80221335,128.695054,경상남도 거제시 일운면 구조라리 산 55,055-681-2749,gujora.invil.org/index.html?menuno=16887&lnb=40104,연중무휴,상시개방,1,0,0,0,0,0,0,1,0,0
1269,구조라수변공원,6,60,34.80810373,128.698381,경상남도 거제시 일운면 구조라리 33-1,055-639-4342,정보없음,연중무휴,00:00-24:00,1,0,1,0,1,1,1,1,1,0
1270,구조라해수욕장,5,60,34.81477374,128.683555,경상남도 거제시 일운면 구조라리,055-639-3000,https://url.kr/6uj2z7,정보없음,개장기간 : 매년 7-8월 중,1,0,1,0,1,1,1,1,0,1
1271,구조선식량영단군산출장소,7,177,35.99035571,126.709673,전라북도 군산시 영화동 14-1,정보없음,https://url.kr/17jgbd,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1272,구좌읍조개잡이체험어장,5,45,33.55493768,126.713192,제주특별자치도 제주시 구좌읍 동복리 1594,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1273,구천계곡군립공원,6,60,34.82135703,128.642838,경상남도 거제시 동부면 구천리 산 21-7,055-639-4342,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1274,구포동체육생활공원축구장,3,156,36.13347341,128.403414,경상북도 구미시 구포동 1191,054-480-2310,www.ginco.or.kr/gupo/index.do,공휴일,"월요일 09:00-22:00, 나머지 06:00-22:00",1,0,1,0,1,1,1,1,1,0
1275,구하우스,2,57,37.60305157,127.351144,경기도 양평군 서종면 문호리 779-5,031-774-7460,koohouse.org/,"매주 월요일, 화요일, 공휴일",상시개방,0,0,0,0,0,0,0,0,0,0
1276,국가기록원부산기록관,2,55,35.19080037,129.05368,부산광역시 연제구 거제동 1400,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1277,국가무형문화재놀이마당,1,65,35.46260178,128.525918,경상남도 창녕군 영산면 성내리 260,055-530-1492,정보없음,"매주 월요일, 공휴일",09:00-18:00,1,0,1,0,0,0,1,1,0,0
1278,국가무형문화재부천전수관,2,152,37.50929054,126.797545,경기도 부천시 여월동 98-8,031-625-3132,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1279,국가무형문화재전수교육관,1,71,37.51009307,127.044625,서울특별시 강남구 삼성동 112-2,02-566-6300,www.chf.or.kr/cms/content/view/270,공휴일,10:00-19:00,1,0,1,0,1,1,0,1,1,1
1280,국군무기발전실,2,135,37.53731405,126.978466,서울특별시 용산구 용산동1가 8,02-709-3114,https://url.kr/eacipl,매주 월요일,화-일 09:30-18:00,0,1,1,1,1,1,1,1,1,1
1281,국궁장,5,139,34.832928,127.893951,경상남도 남해군 남해읍 서변리 산 1-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1282,국궁체험활,5,115,35.81685093,127.150661,전라북도 전주시 완산구 풍남동3가 88-1,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
1283,국기원기념관,2,71,37.50090193,127.029677,서울특별시 강남구 역삼동 635-1,02-567-1058,www.kukkiwon.or.kr/front/pageView.action?cmd=/kor/promote/memorialHall,공휴일,"월-금 AM 09:00-11:30 / PM 1:00-5:30,점심시간 AM 11:30-PM 1:00)",0,1,0,0,0,1,1,1,0,0
1284,국당전시관,2,25,37.30813299,127.685428,경기도 여주시 북내면 지내리 330,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
1285,국립3.15기념관,2,18,35.25266875,128.587535,경상남도 창원시 마산회원구 구암동 544-1,055-253-9315,www.mpva.go.kr/315/index.do,"매주 토요일, 공휴일",09:00-18:00 / 동절기(11월-2월) : 09:00-17:00,1,0,1,1,1,1,1,1,1,0
1286,국립5.18민주묘지,2,98,35.23576619,126.939254,광주광역시 북구 운정동 563,062-268-0518,www.mpva.go.kr/518/index.do,정보없음,동하절기 : 09:00-18:00,1,0,0,0,0,0,0,0,0,0
1287,국립가리왕산자연휴양림,5,117,37.41164004,128.591843,강원도 정선군 정선읍 회동리 25,033-562-5833,www.foresttrip.go.kr/indvz/main.do?hmpgId=0113,매주 화요일,"매일 09:00-18:00 일일개장, 매일 15:00-12:00 숙박시설",0,1,0,0,1,1,0,1,0,0
1288,국립검마산자연휴양림,5,212,36.74517599,129.234002,경상북도 영양군 수비면 신원리 산 26,054-682-9009,www.foresttrip.go.kr/indvz/main.do?hmpgId=0184,매주 화요일,매일 09:00-22:00,1,1,1,0,1,1,0,1,1,0
1289,국립경주박물관,2,23,35.82943009,129.228682,경상북도 경주시 인왕동 76,054-740-7500,gyeongju.museum.go.kr/,공휴일,"관람시간: 10:00-18:00 (토요일 및 공휴일 1시간 연장), 야간연장개관: 10:00-21:00 (매달 마지막 주 수요일, 3월-12월 매주 토요일)",1,0,1,1,1,1,1,0,1,0
1290,국립고궁박물관,2,1,37.57659162,126.974975,서울특별시 종로구 세종로 1-57,02-3701-7500,www.gogung.go.kr,공휴일,10:00-18:00 (수·토요일은 10:00-21:00),0,0,1,1,1,1,0,1,1,1
1291,국립공원산악박물관,2,213,37.68732834,127.034761,서울특별시 도봉구 도봉동 405,02-901-0788,https://url.kr/j58q6r,"매주 월요일, 화요일, 공휴일",10:00-16:00,1,0,1,1,1,1,1,1,1,0
1292,국립공주박물관,2,166,36.46552912,127.11218,충청남도 공주시 웅진동 360,041-850-6300,정보없음,"매주 월요일, 공휴일",정보없음,1,0,1,1,1,1,1,0,1,1
1293,국립과천과학관,2,7,37.43963718,127.002295,경기도 과천시 과천동 758,02-3677-1500,www.sciencecenter.go.kr/scipia/,상시변동,오전 09:30-오후 5:30 *발권마감: 오후 4:30,1,0,1,1,1,1,1,1,1,0
1294,국립광주박물관,2,98,35.18965658,126.883951,광주광역시 북구 매곡동 산 83-3,062-570-7000,gwangju.museum.go.kr/index.jsp,"매주 월요일, 공휴일","10:00-18:00, 야간개장 10:00-20:00 (4월-10월)매주 토요일어린이박물관 10:00-17:00",1,0,1,0,1,1,1,1,0,0
1295,국립국악원,1,109,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3300,www.gugak.go.kr/site/main/index001,매주 월요일,10:00-18:00,1,0,1,1,1,1,1,1,1,1
1296,국립국악원연희마당,1,109,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3302,정보없음,"매주 일요일, 월요일, 공휴일",토 20:00-21:30,1,0,1,1,1,1,1,1,1,1
1297,국립국악원예악당,1,109,37.4802402,127.014215,서울특별시 서초구 서초동 700,02-580-3300,https://url.kr/1zd6by,매주 월요일,화-일 10:00-18:00,1,0,1,1,1,1,1,1,1,1
1298,국립국악원우면당,1,109,37.4802402,127.014215,서울특별시 서초구 서초동 700,02-580-3333,www.gugak.go.kr,매주 월요일,화-일 10:00-18:00,1,0,1,1,1,1,1,1,1,1
1299,국립국악원풍류사랑방,1,109,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3300,https://url.kr/xfudp6,매주 월요일,화-일 10:00-18:00,1,0,1,1,1,1,1,1,1,1
1300,국립극단소극장판,1,135,37.55314654,126.968279,서울특별시 용산구 서계동 1,1644-2003,www.ntck.or.kr/ko,정보없음,정보없음,1,0,1,0,1,1,0,1,1,1
1301,국립극장,1,12,37.55199491,126.999267,서울특별시 중구 장충동2가 산 14-67,02-2280-4114,www.ntok.go.kr/kr/Main/Index,정보없음,정보없음,0,1,1,0,1,1,1,1,1,0
1302,국립극장공연예술박물관,2,12,37.55199491,126.999267,서울특별시 중구 장충동2가 산 14-67,02-2280-5806,www.ntok.go.kr/kr,매주 월요일,10:00-18:00,0,1,1,0,1,1,1,1,1,0
1303,국립기상박물관,2,1,37.570222,126.966204,서울특별시 종로구 송월동 1-1 국립기상박물관,070-7850-8493,science.kma.go.kr/museum/,"매주 월요일, 공휴일",10:00-17:00,1,0,1,1,1,1,1,1,1,1
1304,국립김천치유의숲,5,214,35.85137028,128.002216,경상북도 김천시 증산면 수도리 산 9-2,054-435-3413,www.fowi.or.kr/,"매주 토요일, 일요일, 공휴일",09:00-18:00,0,0,0,0,0,0,0,0,0,0
1305,국립김해박물관,2,73,35.24353009,128.872585,경상남도 김해시 구산동 232,055-320-6800,gimhae.museum.go.kr/kr/,"매주 월요일, 공휴일","상설전시 9:00-18:00, 어린이박물관10:00-17:50",1,0,1,1,1,1,1,1,1,1
1306,국립김해박물관어린이박물관,2,73,35.24353009,128.872585,경상남도 김해시 구산동 232,055-320-6827,gimhae.museum.go.kr/kr/html/sub02/0204.html,매주 월요일,10:00-17:50　(준비시간: 12:00-13:00 미운영),1,0,1,1,1,1,1,1,1,1
1307,국립나주박물관,2,163,34.91485383,126.658901,전라남도 나주시 반남면 신촌리 152-25,061-330-7800,naju.museum.go.kr/,"매주 월요일, 공휴일","평일(월요일 제외): 09:00-18:00,-토요일, 일요일, 공휴일: 09:00-19:00 (어린이체험놀이터: 09:00-18:00)",1,0,0,0,0,0,0,0,0,0
1308,국립낙동강생물자원관,2,144,36.44559196,128.255416,경상북도 상주시 도남동 산 39-21,054-530-0700,www.nnibr.re.kr/,상시변동,09:30-17:30,1,0,1,1,1,1,1,1,1,1
1309,국립낙안민속자연휴양림,5,124,34.91226789,127.352388,전라남도 순천시 낙안면 동내리 산 3-1,061-754-4400,www.foresttrip.go.kr/indvz/main.do?hmpgId=0200,매주 화요일,일일개장 09:00-18:00 숙박시설 15:00-12:00,1,0,0,0,0,0,0,0,0,0
1310,국립남해편백자연휴양림,5,139,34.75216391,128.020132,경상남도 남해군 삼동면 봉화리 2154-2,055-867-7881,www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,매주 화요일,09:00-18:00,1,0,0,0,1,1,0,1,0,0
1311,국립농업박물관(2022년12월예정),2,134,37.27615405,126.981309,경기도 수원시 권선구 서둔동 249-7,031-324-0770,www.namuk.or.kr/sites/www/index.do,공휴일,미정,0,0,1,1,1,1,1,1,0,0
1312,국립달음산자연휴양림,5,49,35.30270542,129.185395,부산광역시 기장군 일광읍 용천리 산 252,051-722-3023,www.foresttrip.go.kr/indvz/main.do?hmpgId=0202,매주 화요일,09:00-18:00,1,0,1,1,1,1,0,1,1,0
1313,국립대관령치유의숲,5,84,37.70768859,128.798766,강원도 강릉시 성산면 어흘리 산 2-31,033-642-8382,www.fowi.or.kr/user/contents/contentsView.do?cntntsId=140,정보없음,09:00-18:00,1,0,1,1,1,1,1,1,0,1
1314,국립대구과학관,2,160,35.68665514,128.465762,대구광역시 달성군 유가읍 상리 917,053-670-6114,www.dnsm.or.kr/,"매주 월요일, 공휴일",관람시간 09:30-17:30,0,1,1,1,1,1,1,0,1,1
1315,국립대구박물관,2,112,35.84557453,128.638342,대구광역시 수성구 황금동 70,053-768-6051,daegu.museum.go.kr/,"매주 월요일, 공휴일",평일 09:00-18:00 ,1,0,1,1,1,1,1,1,1,1
1316,국립대야산자연휴양림,5,78,36.67090507,127.961979,경상북도 문경시 가은읍 완장리 산 65-1,054-571-7181,www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,정보없음,정보없음,0,1,0,0,0,0,0,0,0,0
1317,국립대운산치유의숲,5,87,35.39015364,129.236172,울산광역시 울주군 온양읍 운화리 산 159-1,정보없음,정보없음,정보없음,정보없음,1,0,1,1,1,1,1,1,1,0
1318,국립대전숲체원,5,129,36.32433709,127.291211,대전광역시 유성구 성북동 466,042-718-1501,www.fowi.or.kr/user/main/main.do,연중무휴,제한없음 (숲 특성상 일몰시 위험하므로 관람 자제 필요),1,0,1,0,1,1,1,1,1,1
1319,국립대전현충원,2,129,36.36944959,127.302604,대전광역시 유성구 갑동 3,042-718-7114,www.dnc.go.kr/html/kr/,연중무휴,"하절기(3월-10월) 06:00-18:00, 동절기(11월-2월) 07:00-18:00",1,0,1,1,1,1,1,1,1,1
